,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtHeight,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,MoSold,YrSold,SalePrice
10,70.0,11200,Reg,Inside,Sawyer,Norm,1Story,5,5,1965,1965,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,Rec,906,134,1040,Ex,1040,0,1040,1,0,1,0,3,1,TA,5,0,NF,Detchd,1965.0,Unf,1,384,TA,Y,0,0,NF,2,2008,129500
11,85.0,11924,IR1,Inside,NridgHt,Norm,2Story,9,5,2005,2006,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,No,GLQ,998,177,1175,Ex,1182,1142,2324,1,0,3,0,4,1,Ex,11,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,Y,147,21,NF,7,2006,345000
12,0.0,12968,IR2,Inside,Sawyer,Norm,1Story,5,6,1962,1962,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,No,ALQ,737,175,912,TA,912,0,912,1,0,1,0,2,1,TA,4,0,NF,Detchd,1962.0,Unf,1,352,TA,Y,140,0,NF,9,2008,144000
13,91.0,10652,IR1,Inside,CollgCr,Norm,1Story,7,5,2006,2007,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,Av,Unf,0,1494,1494,Ex,1494,0,1494,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2006.0,RFn,3,840,TA,Y,160,33,NF,8,2007,279500
14,0.0,10920,IR1,Corner,NAmes,Norm,1Story,6,5,1960,1960,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,No,BLQ,733,520,1253,TA,1253,0,1253,1,0,1,1,2,1,TA,5,1,Fa,Attchd,1960.0,RFn,1,352,TA,Y,0,213,GdWo,5,2008,157000
15,51.0,6120,Reg,Corner,BrkSide,Norm,1.5Unf,7,8,1929,2001,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,832,832,Ex,854,0,854,0,0,1,0,2,1,TA,5,0,NF,Detchd,1991.0,Unf,2,576,TA,Y,48,112,GdPrv,7,2007,132000
16,0.0,11241,IR1,CulDSac,NAmes,Norm,1Story,6,7,1970,1970,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,No,ALQ,578,426,1004,Ex,1004,0,1004,1,0,1,0,2,1,TA,5,1,TA,Attchd,1970.0,Fin,2,480,TA,Y,0,0,NF,3,2010,149000
17,72.0,10791,Reg,Inside,Sawyer,Norm,1Story,4,5,1967,1967,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NB,NB,NB,0,0,0,TA,1296,0,1296,0,0,2,0,2,2,TA,6,0,NF,CarPort,1967.0,Unf,2,516,TA,Y,0,0,NF,10,2006,90000
18,66.0,13695,Reg,Inside,SawyerW,RRAe,1Story,5,5,2004,2004,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,No,GLQ,646,468,1114,Ex,1114,0,1114,1,0,1,1,3,1,Gd,6,0,NF,Detchd,2004.0,Unf,2,576,TA,Y,0,102,NF,6,2008,159000
19,70.0,7560,Reg,Inside,NAmes,Norm,1Story,5,6,1958,1965,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,No,LwQ,504,525,1029,TA,1339,0,1339,0,0,1,0,3,1,TA,6,0,NF,Attchd,1958.0,Unf,1,294,TA,Y,0,0,MnPrv,5,2009,139000
20,101.0,14215,IR1,Corner,NridgHt,Norm,2Story,8,5,2005,2006,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,Av,Unf,0,1158,1158,Ex,1158,1218,2376,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,Y,240,154,NF,11,2006,325300
21,57.0,7449,Reg,Inside,IDOTRR,Norm,1.5Unf,7,7,1930,1950,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,No,Unf,0,637,637,Ex,1108,0,1108,0,0,1,0,3,1,Gd,6,1,Gd,Attchd,1930.0,Unf,1,280,TA,N,0,0,GdPrv,6,2007,139400
22,75.0,9742,Reg,Inside,CollgCr,Norm,1Story,8,5,2002,2002,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,No,Unf,0,1777,1777,Ex,1795,0,1795,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2002.0,RFn,2,534,TA,Y,171,159,NF,9,2008,230000
23,44.0,4224,Reg,Inside,MeadowV,Norm,1Story,5,7,1976,1976,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,No,GLQ,840,200,1040,TA,1060,0,1060,1,0,1,0,3,1,TA,6,1,TA,Attchd,1976.0,Unf,2,572,TA,Y,100,110,NF,6,2007,129900
24,0.0,8246,IR1,Inside,Sawyer,Norm,1Story,5,8,1968,2001,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,Mn,Rec,188,204,1060,Ex,1060,0,1060,1,0,1,0,3,1,Gd,6,1,TA,Attchd,1968.0,Unf,1,270,TA,Y,406,90,MnPrv,5,2010,154000
25,110.0,14230,Reg,Corner,NridgHt,Norm,1Story,8,5,2007,2007,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,No,Unf,0,1566,1566,Ex,1600,0,1600,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2007.0,RFn,3,890,TA,Y,0,56,NF,7,2009,256300
26,60.0,7200,Reg,Corner,NAmes,Norm,1Story,5,7,1951,2000,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,Mn,BLQ,234,180,900,TA,900,0,900,0,1,1,0,3,1,Gd,5,0,NF,Detchd,2005.0,Unf,2,576,TA,Y,222,32,NF,5,2010,134800
27,98.0,11478,Reg,Inside,NridgHt,Norm,1Story,8,5,2007,2008,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,No,GLQ,1218,486,1704,Ex,1704,0,1704,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,2008.0,RFn,3,772,TA,Y,0,50,NF,5,2010,306000
28,47.0,16321,IR1,CulDSac,NAmes,Norm,1Story,5,6,1957,1997,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,Gd,BLQ,1277,207,1484,TA,1600,0,1600,1,0,1,0,2,1,TA,6,2,Gd,Attchd,1957.0,RFn,1,319,TA,Y,288,258,NF,12,2006,207500
29,60.0,6324,IR1,Inside,BrkSide,Feedr,1Story,4,6,1927,1950,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,520,520,Fa,520,0,520,0,0,1,0,1,1,Fa,4,0,NF,Detchd,1920.0,Unf,1,240,TA,Y,49,0,NF,5,2008,68500
30,50.0,8500,Reg,Inside,IDOTRR,Feedr,2Story,4,4,1920,1950,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,No,Unf,0,649,649,TA,649,668,1317,0,0,1,0,3,1,TA,6,0,NF,Detchd,1920.0,Unf,1,250,Fa,N,0,54,MnPrv,7,2008,40000
31,0.0,8544,IR1,CulDSac,Sawyer,Norm,1Story,5,6,1966,2006,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,Unf,0,1228,1228,Gd,1228,0,1228,0,0,1,1,3,1,Gd,6,0,NF,Attchd,1966.0,Unf,1,271,TA,Y,0,65,MnPrv,6,2008,149350
32,85.0,11049,Reg,Corner,CollgCr,Norm,1Story,8,5,2007,2007,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Av,Unf,0,1234,1234,Ex,1234,0,1234,0,0,2,0,3,1,Gd,7,0,NF,Attchd,2007.0,RFn,2,484,TA,Y,0,30,NF,1,2008,179900
33,70.0,10552,IR1,Inside,NAmes,Norm,1Story,5,5,1959,1959,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,No,Rec,1018,380,1398,Gd,1700,0,1700,0,1,1,1,4,1,Gd,6,1,Gd,Attchd,1959.0,RFn,2,447,TA,Y,0,38,NF,4,2010,165500
34,60.0,7313,Reg,Inside,NridgHt,Norm,1Story,9,5,2005,2005,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,No,GLQ,1153,408,1561,Ex,1561,0,1561,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,2005.0,Fin,2,556,TA,Y,203,47,NF,8,2007,277500
35,108.0,13418,Reg,Inside,NridgHt,Norm,2Story,8,5,2004,2005,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,Av,Unf,0,1117,1117,Ex,1132,1320,2452,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,Y,113,32,NF,9,2006,309000
36,112.0,10859,Reg,Corner,CollgCr,Norm,1Story,5,5,1994,1995,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,No,Unf,0,1097,1097,Ex,1097,0,1097,0,0,1,1,3,1,TA,6,0,NF,Attchd,1995.0,Unf,2,672,TA,Y,392,64,NF,6,2009,145000
37,74.0,8532,Reg,Inside,NAmes,Norm,1Story,5,6,1954,1990,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,No,Rec,1213,84,1297,Gd,1297,0,1297,0,1,1,0,3,1,TA,5,1,TA,Attchd,1954.0,Fin,2,498,TA,Y,0,0,NF,10,2009,153000
38,68.0,7922,Reg,Inside,NAmes,Norm,1Story,5,7,1953,2007,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,No,GLQ,731,326,1057,TA,1057,0,1057,1,0,1,0,3,1,Gd,5,0,NF,Detchd,1953.0,Unf,1,246,TA,Y,0,52,NF,1,2010,109000
39,65.0,6040,Reg,Inside,Edwards,Norm,1Story,4,5,1955,1955,AsbShng,Plywood,None,0.0,TA,TA,PConc,NB,NB,NB,0,0,0,TA,1152,0,1152,0,0,2,0,2,2,Fa,6,0,NF,NG,1978.3685393258427,NG,0,0,NG,N,0,0,NF,6,2008,82000
40,84.0,8658,Reg,Inside,NAmes,Norm,1Story,6,5,1965,1965,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,No,Rec,643,445,1088,Ex,1324,0,1324,0,0,2,0,3,1,TA,6,1,TA,Attchd,1965.0,RFn,2,440,TA,Y,0,138,GdWo,12,2006,160000
41,115.0,16905,Reg,Inside,Timber,Norm,1Story,5,6,1959,1959,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,Gd,BLQ,967,383,1350,Gd,1328,0,1328,0,1,1,1,2,1,TA,5,2,Gd,Attchd,1959.0,RFn,1,308,TA,P,0,104,NF,7,2007,170000
42,0.0,9180,IR1,CulDSac,SawyerW,Norm,SFoyer,5,7,1983,1983,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,Av,ALQ,747,0,840,Gd,884,0,884,1,0,1,0,2,1,Gd,5,0,NF,Attchd,1983.0,RFn,2,504,Gd,Y,240,0,MnPrv,12,2007,144000
43,0.0,9200,IR1,CulDSac,CollgCr,Norm,1Story,5,6,1975,1980,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,Av,LwQ,280,167,938,TA,938,0,938,1,0,1,0,3,1,TA,5,0,NF,Detchd,1977.0,Unf,1,308,TA,Y,145,0,MnPrv,7,2008,130250
44,70.0,7945,Reg,Inside,NAmes,Norm,1Story,5,6,1959,1959,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,ALQ,179,465,1150,Ex,1150,0,1150,1,0,1,0,3,1,TA,6,0,NF,Attchd,1959.0,RFn,1,300,TA,Y,0,0,NF,5,2006,141000
45,61.0,7658,Reg,Inside,NridgHt,Norm,1Story,9,5,2005,2005,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,No,GLQ,456,1296,1752,Ex,1752,0,1752,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,2005.0,RFn,2,576,TA,Y,196,82,NF,2,2010,319900
46,48.0,12822,IR1,CulDSac,Mitchel,Norm,1.5Fin,7,5,2003,2003,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,No,GLQ,1351,83,1434,Ex,1518,631,2149,1,0,1,1,1,1,Gd,6,1,Ex,Attchd,2003.0,RFn,2,670,TA,Y,168,43,NF,8,2009,239686
47,84.0,11096,Reg,Inside,Somerst,Norm,1Story,8,5,2006,2006,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Av,GLQ,24,1632,1656,Ex,1656,0,1656,0,0,2,0,3,1,Gd,7,0,NF,Attchd,2006.0,RFn,3,826,TA,Y,0,146,NF,7,2007,249700
48,33.0,4456,Reg,Inside,OldTown,Norm,2Story,4,5,1920,2008,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,736,736,Gd,736,716,1452,0,0,2,0,2,3,TA,8,0,NF,NG,1978.3685393258427,NG,0,0,NG,N,0,0,NF,6,2009,113000
49,66.0,7742,Reg,Inside,Sawyer,Norm,1Story,5,7,1966,1966,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,BLQ,763,192,955,Ex,955,0,955,1,0,1,0,3,1,TA,6,0,NF,Attchd,1966.0,Unf,1,386,TA,Y,0,0,MnPrv,1,2007,127000
50,0.0,13869,IR2,Corner,Gilbert,Norm,2Story,6,6,1997,1997,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,Av,GLQ,182,612,794,Gd,794,676,1470,0,1,2,0,3,1,TA,6,0,NF,Attchd,1997.0,Fin,2,388,TA,Y,0,75,NF,7,2007,177000
51,52.0,6240,Reg,Inside,BrkSide,Norm,1.5Fin,6,6,1934,1950,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,No,Unf,0,816,816,TA,816,0,1176,0,0,1,0,3,1,TA,6,1,Gd,Detchd,1985.0,Unf,2,528,TA,Y,112,0,MnPrv,9,2006,114500
52,110.0,8472,IR2,Corner,IDOTRR,RRNn,1Story,5,5,1963,1963,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,Gd,LwQ,104,0,816,TA,816,0,816,1,0,1,0,2,1,TA,5,0,NF,CarPort,1963.0,Unf,2,516,TA,Y,106,0,NF,5,2010,110000
54,60.0,7134,Reg,Inside,NAmes,Norm,SLvl,5,5,1955,1955,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,No,ALQ,384,0,384,TA,1360,0,1360,0,0,1,0,3,1,TA,6,1,TA,Detchd,1962.0,Unf,2,572,TA,Y,0,50,MnPrv,2,2007,130000
55,100.0,10175,IR1,Inside,NAmes,Norm,1Story,6,5,1964,1964,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,No,BLQ,490,935,1425,Gd,1425,0,1425,0,0,2,0,3,1,TA,7,1,Gd,Attchd,1964.0,RFn,2,576,TA,Y,0,0,NF,7,2008,180500
56,24.0,2645,Reg,Inside,Somerst,Norm,2Story,8,5,1999,2000,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,No,GLQ,649,321,970,Ex,983,756,1739,1,0,2,1,3,1,Gd,7,0,NF,Attchd,1999.0,Fin,2,480,TA,Y,115,0,NF,8,2009,172500
57,89.0,11645,IR1,Corner,CollgCr,Norm,2Story,7,5,2004,2004,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,Unf,0,860,860,Ex,860,860,1720,0,0,2,1,3,1,Gd,7,0,NF,Attchd,2004.0,RFn,2,565,TA,Y,0,70,NF,8,2006,196500
59,60.0,7200,Reg,Inside,CollgCr,Norm,1Story,5,7,1972,1972,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Av,ALQ,632,148,780,Ex,780,0,780,0,0,1,0,2,1,TA,4,0,NF,Detchd,1973.0,Unf,1,352,TA,Y,196,0,MnPrv,1,2008,124900
60,63.0,13072,Reg,Inside,SawyerW,RRAe,1Story,6,5,2004,2004,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,No,ALQ,941,217,1158,Ex,1158,0,1158,1,0,1,1,3,1,Gd,5,0,NF,Detchd,2006.0,Unf,2,576,TA,Y,0,50,NF,5,2006,158000
61,60.0,7200,Reg,Inside,IDOTRR,Norm,2.5Unf,5,7,1920,1996,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,530,530,TA,581,530,1111,0,0,1,0,3,1,Fa,6,0,NF,Detchd,1935.0,Unf,1,288,TA,N,0,0,NF,3,2007,101000
62,44.0,6442,IR1,Inside,NridgHt,Norm,1Story,8,5,2006,2006,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,Mn,GLQ,24,1346,1370,Ex,1370,0,1370,0,0,2,0,2,1,Gd,6,1,Gd,Attchd,2006.0,RFn,2,484,TA,Y,120,49,NF,10,2007,202500
63,50.0,10300,IR1,Inside,OldTown,RRAn,2Story,7,6,1921,1950,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,576,576,Gd,902,808,1710,0,0,2,0,3,1,TA,9,0,NF,Detchd,1990.0,Unf,2,480,TA,Y,12,11,GdPrv,4,2010,140000
64,0.0,9375,Reg,Inside,CollgCr,Norm,2Story,7,5,1997,1998,VinylSd,VinylSd,BrkFace,573.0,TA,TA,PConc,Gd,No,GLQ,739,318,1057,Ex,1057,977,2034,1,0,2,1,3,1,Gd,8,0,NF,Attchd,1998.0,RFn,2,645,TA,Y,576,36,GdPrv,2,2009,219500
65,76.0,9591,Reg,Inside,NridgHt,Norm,2Story,8,5,2004,2005,VinylSd,VinylSd,BrkFace,344.0,Gd,TA,PConc,Ex,Av,Unf,0,1143,1143,Ex,1143,1330,2473,0,0,2,1,4,1,Gd,9,1,Gd,BuiltIn,2004.0,RFn,3,852,TA,Y,192,151,NF,10,2007,317000
66,0.0,19900,Reg,Inside,NAmes,PosA,1Story,7,5,1970,1989,Plywood,Plywood,BrkFace,287.0,TA,TA,CBlock,Gd,Gd,GLQ,912,1035,1947,TA,2207,0,2207,1,0,2,0,3,1,TA,7,1,Gd,Attchd,1970.0,RFn,2,576,TA,Y,301,0,NF,7,2010,180000
67,72.0,10665,IR1,Inside,CollgCr,Norm,1Story,7,5,2003,2003,VinylSd,VinylSd,BrkFace,167.0,Gd,TA,PConc,Gd,Av,GLQ,1013,440,1453,Ex,1479,0,1479,1,0,2,0,3,1,Gd,7,0,NF,Attchd,2003.0,RFn,2,558,TA,Y,144,29,NF,6,2007,226000
68,47.0,4608,Reg,Corner,OldTown,Artery,1Story,4,6,1945,1950,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,No,Unf,0,747,747,TA,747,0,747,0,0,1,0,2,1,TA,4,0,NF,Attchd,1945.0,Unf,1,220,TA,Y,0,0,NF,6,2010,80000
69,81.0,15593,Reg,Corner,ClearCr,Norm,1.5Fin,7,4,1953,1953,BrkFace,AsbShng,None,0.0,Gd,TA,CBlock,TA,No,BLQ,603,701,1304,TA,1304,983,2287,0,0,2,0,3,1,TA,7,1,TA,Attchd,1953.0,Fin,2,667,TA,Y,0,21,NF,7,2006,225000
71,69.0,7599,Reg,Corner,Mitchel,Norm,1Story,4,6,1982,2006,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,No,ALQ,565,280,845,TA,845,0,845,1,0,1,0,2,1,TA,4,0,NF,Detchd,1987.0,Unf,2,360,TA,Y,0,0,NF,6,2007,129500
72,74.0,10141,IR1,Corner,Gilbert,Norm,2Story,7,5,1998,1998,VinylSd,VinylSd,BrkFace,40.0,TA,TA,PConc,Gd,No,Unf,0,832,832,Gd,885,833,1718,0,0,2,1,3,1,TA,7,1,TA,Attchd,1998.0,Fin,2,427,TA,Y,0,94,NF,12,2009,185000
73,85.0,10200,Reg,Inside,NAmes,Norm,1Story,5,7,1954,2003,Wd Sdng,Wd Sdng,BrkFace,104.0,TA,TA,CBlock,TA,No,ALQ,320,404,1086,Gd,1086,0,1086,1,0,1,0,3,1,TA,6,0,NF,Attchd,1989.0,Unf,2,490,TA,Y,0,0,GdWo,5,2010,144900
74,60.0,5790,Reg,Corner,OldTown,Norm,2Story,3,6,1915,1950,VinylSd,VinylSd,None,0.0,Gd,Gd,CBlock,Fa,No,Unf,0,840,840,Gd,840,765,1605,0,0,2,0,3,2,TA,8,0,NF,Detchd,1915.0,Unf,1,379,TA,Y,0,0,NF,5,2010,107400
75,21.0,1596,Reg,Inside,MeadowV,Norm,SLvl,4,5,1973,1973,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,Gd,Gd,GLQ,462,0,462,TA,526,462,988,1,0,1,0,2,1,TA,5,0,NF,BuiltIn,1973.0,Unf,1,297,TA,Y,120,101,GdWo,11,2009,91000
76,0.0,8475,IR1,Inside,NAmes,Norm,1Story,4,7,1956,1956,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,No,ALQ,228,724,952,Ex,952,0,952,0,0,1,0,2,1,TA,4,0,NF,Detchd,1956.0,Unf,1,283,TA,Y,0,0,NF,4,2008,135750
77,50.0,8635,Reg,Inside,BrkSide,Norm,1.5Fin,5,5,1948,2001,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,BLQ,336,295,672,TA,1072,213,1285,1,0,1,0,2,1,TA,6,0,NF,Detchd,1948.0,Unf,1,240,TA,Y,0,0,MnPrv,1,2008,127000
78,72.0,10778,Reg,Inside,Sawyer,Norm,1Story,4,5,1968,1968,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,Unf,0,1768,1768,TA,1768,0,1768,0,0,2,0,4,2,TA,8,0,NF,NG,1978.3685393258427,NG,0,0,NG,Y,0,0,NF,4,2010,136500
79,60.0,10440,Reg,Corner,OldTown,Norm,2Story,5,6,1910,1981,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,No,Unf,0,440,440,Gd,682,548,1230,0,0,1,1,2,1,TA,5,0,NF,Detchd,1966.0,Unf,2,440,TA,Y,74,0,MnPrv,5,2009,110000
80,100.0,13000,Reg,Corner,NAmes,Norm,2Story,6,6,1968,1968,VinylSd,VinylSd,BrkFace,576.0,TA,Gd,CBlock,Gd,No,Rec,448,448,896,TA,1182,960,2142,0,0,2,1,4,1,Gd,8,1,Gd,Attchd,1968.0,Fin,1,509,TA,Y,0,72,NF,6,2009,193500
81,32.0,4500,Reg,FR2,Mitchel,Norm,1Story,6,5,1998,1998,VinylSd,VinylSd,BrkFace,443.0,TA,Gd,PConc,Ex,No,GLQ,1201,36,1237,Ex,1337,0,1337,1,0,2,0,2,1,TA,5,0,NF,Attchd,1998.0,Fin,2,405,TA,Y,0,199,NF,3,2006,153500
82,78.0,10206,Reg,Inside,Somerst,Norm,1Story,8,5,2007,2007,VinylSd,VinylSd,Stone,468.0,TA,TA,PConc,Gd,No,GLQ,33,1530,1563,Ex,1563,0,1563,0,0,2,0,3,1,Gd,6,1,Gd,Attchd,2007.0,RFn,3,758,TA,Y,144,99,NF,10,2008,245000
83,80.0,8892,IR1,Inside,NAmes,Norm,1Story,5,5,1960,1960,MetalSd,MetalSd,BrkCmn,66.0,TA,TA,CBlock,TA,No,Unf,0,1065,1065,Gd,1065,0,1065,0,0,1,1,3,1,TA,6,0,NF,Detchd,1974.0,Unf,2,461,TA,Y,74,0,NF,7,2007,126500
